Field,Value
"Abdul Mutaal Ahmad,Christian Menard",1
"Abhishek Shailendra Singh,pre-commit-ci[bot]",1
"Adrian Herrera,Gabe Black",1
"Adrian Herrera,Jan-Peter Larsson",1
"Adrià Armejach,Javier Setoain",1
"Adrián Herrera,Giacomo Travaglini",1
"Akash Bagdia,Geoffrey Blake",1
"Alec Roelke,Gabe Black",1
"Alex Richardson,Alexander Richardson",1
"Alexandru Dutu,Andreas Hansson",1
"Vince Weaver,Gabe Black",1
"Vincentius Robby,Ali Saidi",1
"Vishnu Ramadas,Jarvis Jia",1
"Travis Boraten,Tony Gutierrez",1
"Tuan Ta,Matt Sinclair",1
"Tushar Krishna,Korey Sewell",1
"Yu-Cheng Chang,Bobby R. Bruce",1
"Yu-Cheng Chang,QQeg",1
"rogerchang23424,Roger Chang",1
"Jui-min Lee,Gabe Black",1
"Korey Sewell,Brad Beckmann",1
"Korey Sewell,Nilay Vaish",1
"Kyle Roarty,Gabe Black",1
"Kyle Roarty,Matthew Poremba",1
"Lena Olson,Andreas Hansson",1
"Leon,Yu-Cheng Chang",1
"Jason Lowe-Power,Hanhwi Jang",1
"Jason Lowe-Power,KaiBatley",1
"Jason Lowe-Power,Matthew Poremba",1
"Javier Bueno,David Hashe",1
"Javier Setoain,Adrià Armejach",1
"Jayneel Gandhi,Nilay Vaish",1
"Jiayi Huang,Gabe Black",1
"Joel Hestness,Tim Harris",1
"Lisa Hsu,Steve Reinhardt",1
"Lluís Vilanova,Ali Saidi",1
"Luming Wang,Jason Lowe-Power",1
"Mahyar Samani,Gabe Black",1
"Mahyar Samani,Melissa Jost",1
"Andreas Sandberg,Daniel R. Carvalho",1
"Andreas Sandberg,David Guillen Fandos",1
"Andreas Sandberg,Javier Bueno",1
"Andreas Sandberg,Javier Setoain",1
"Andreas Sandberg,Mrinmoy Ghosh",1
"Andreas Sandberg,Nilay Vaish",1
"Andreas Sandberg,Tong Shen",1
"Andrew Bardsley,Andreas Sandberg",1
"Andrew Bardsley,Curtis Dunham",1
"Marc Orr,Steve Reinhardt",1
"Marco Balboni,Andreas Hansson",1
"Marco Balboni,Stephan Diestelhorst",1
"Marco Elver,Andreas Hansson",1
"Marco Elver,Kanishk Sugand",1
"Anthony Gutierrez,Andreas Hansson",1
"Anthony Gutierrez,Mrinmoy Ghosh",1
"Anthony Gutierrez,Nilay Vaish",1
"Austin Harris,Andrea Mondelli",1
"Benjamin Nash,Nathan Binkert",1
"Bobby Bruce,Bobby R. Bruce",1
"Hoa Nguyen,Richard Cooper",1
"Iru Cai,Jason Lowe-Power",1
"Ivan Pizarro,Andrea Mondelli",1
"Ivan Pizarro,Javier Bueno",1
"Jason Lowe-Power,Andreas Sandberg",1
"Maryam Babaie,Mahyar Samani",1
"Matt Horsnell,Giacomo Gabrielli",1
"Matt Horsnell,Giacomo Travaglini",1
"Matt Sinclair,BujSet",1
"Matt Sinclair,Tony Gutierrez",1
"Matteo Andreozzi,Andreas Sandberg",1
"Matthew Poremba,Erin (Jianghua) Le",1
"Giacomo Travaglini,Michiel van Tol",1
"Giacomo Travaglini,Richard Cooper",1
"Giacomo Travaglini,Yu-hsin Wang",1
"Harshil Patel,Erin (Jianghua) Le",1
"Harshil Patel,Giacomo Travaglini",1
"Hoa Nguyen,Alvaro Moreno",1
"Hoa Nguyen,Daniel R. Carvalho",1
"Hoa Nguyen,Gabe Black",1
"Hoa Nguyen,Mahyar Samani",1
"Hoa Nguyen,Melissa Jost",1
"Andrew Schultz,Nathan Binkert",1
"Andrew Schultz,Steve Reinhardt",1
"Matthew Poremba,Giacomo Travaglini",1
"Matthew Poremba,Maryam Babaie",1
"Matthew Poremba,Michael LeBeane",1
"Matthew Poremba,Nikos Nikoleris",1
"Matthew Poremba,Tuan Ta",1
"Matthias Boettcher,Nitesh Narayana",1
"Michael Adler,Andreas Hansson",1
"Michael Adler,Tom Jablin",1
"Michael Boyer,Matthew Poremba",1
"Michael LeBeane,Alexandru Dutu",1
"Min Kyu Jeong,Matt Horsnell",1
"Mitch Hayenga,Geoffrey Blake",1
"Mitch Hayenga,Rekai Gonzalez Alberquilla",1
"Mitchell Hayenga,William Wang",1
"Monir Mozumder,Brandon Potter",1
"Mrinmoy Ghosh,Dam Sunwoo",1
"Mrinmoy Ghosh,Geoffrey Blake",1
"Nathan Binkert,Andreas Hansson",1
"Nathan Binkert,Andreas Sandberg",1
"Geoffrey Blake,Dam Sunwoo",1
"Geoffrey Blake,Mitch Hayenga",1
"Giacomo Travaglini,Adrián Herrera",1
"Giacomo Travaglini,Alexander Richardson",1
"Giacomo Travaglini,Andreas Sandberg",1
"Giacomo Travaglini,Bobby R. Bruce",1
"Giacomo Travaglini,Chuan Zhu",1
"Giacomo Travaglini,Edmund Grimley Evans",1
"Giacomo Travaglini,Emily Brickey",1
"Giacomo Travaglini,Jordi Vaquero",1
"Giacomo Travaglini,Matthew Poremba",1
"Gabe Black,Matt Sinclair",1
"Gabe Black,Nilay Vaish",1
"Gabe Black,Timothy Hayes",1
"Gabe Black,Tom Rollet",1
"Gabe Black,Xiaoyu Ma",1
"Gabe Black,Yen-lin Lai",1
"Gabe Black,eavivi",1
"Gedare Bloom,Ali Saidi",1
"Nathan Binkert,Benjamin Nash",1
"Andreas Hansson,Rekai Gonzalez Alberquilla",1
"Andreas Sandberg,Anthony Gutierrez",1
"Andreas Sandberg,Bobby R. Bruce",1
"Bobby R. Bruce,Matt Sinclair",1
"Bobby R. Bruce,Shivani Parekh",1
"Bobby R. Bruce,dependabot[bot]",1
"Brad Beckmann,Blake Hechtman",1
"Brad Beckmann,David Hashe",1
"Gabe Black,Gabriel Busnot",1
"Gabe Black,Jason Lowe-Power",1
"Gabe Black,Lisa Hsu",1
"Nathan Binkert,Taeho Kgil",1
"Nathanael Premillieu,Jason Lowe-Power",1
"Neha Agarwal,Ani Udipi",1
"Nikos Nikoleris,Anouk Van Laer",1
"Nikos Nikoleris,Reiley Jeapaul",1
"Nikos Nikoleris,Sascha Bischoff",1
"Nikos Nikoleris,Yu-hsin Wang",1
"Nilay Vaish,Joe Gross",1
"Erik Hallnor,Steve Raasch",1
"Erin (Jianghua) Le,Jason Lowe-Power",1
"Gabe Black,Alexandru Dutu",1
"Bobby R. Bruce,Ivana Mitrovic",1
"Bobby R. Bruce,Kaustav Goswami",1
"Nilay Vaish,Lena Olson",1
"Nilay Vaish,Malek Musleh",1
"Nilay Vaish,Steve Reinhardt",1
"Nils Asmussen,Anouk Van Laer",1
"Prakash Ramrakhani,Ali Saidi",1
"Prakash Ramrakhani,Geoffrey Blake",1
"Prakash Ramrakhyani,Ali Saidi",1
"Prakash Ramrakhyani,Dam Sunwoo",1
"David Guillen Fandos,Sergei Trofimov",1
"David Guillen-Fandos,Andreas Hansson",1
"David Hashe,Tony Gutierrez",1
"Doğukan Korkmaztürk,Andreas Sandberg",1
"Earl Ou,Yu-hsin Wang",1
"Emily Brickey,Shivani Parekh",1
"Erik Hallnor,Ali Saidi",1
"Erik Hallnor,Nathan Binkert",1
"Andreas Hansson,Ali Saidi",1
"Andreas Hansson,Amin Farmahini",1
"Andreas Hansson,Giacomo Gabrielli",1
"Andreas Hansson,Koan-Sin Tan",1
"Andreas Hansson,Lena Olson",1
"Andreas Hansson,Michael LeBeane",1
"Andreas Hansson,Mitch Hayenga",1
"QQeg,Roger Chang",1
"QQeg,Saúl",1
"Reiley Jeapaul,Andreas Sandberg",1
"Reiley Jeyapaul,Tiago Mück",1
"Richard Cooper,Nikolaos Kyparissas",1
"Riken Gohil,Gabe Black",1
"Robert Hauser,Bobby R. Bruce",1
"Roger Chang,rogerchang23424",1
"Ron Dreslinski,Korey Sewell",1
"Ruben Ayrapetyan,Giacomo Travaglini",1
"Samuel Stark,Giacomo Travaglini",1
"Sascha Bischoff,Andreas Hansson",1
"Severin Wischmann ext:(%2C%20Ioannis%20Ilkos%20%3Cioannis.ilkos09%40imperial.ac.uk%3E),Michael Adler",1
"Shivani Parekh,Jason Lowe-Power",1
"Sooraj Puthoor,Kyle Roarty",1
"Stan Czerniawski,Neha Agarwal",1
"Daniel,Javier Bueno",1
"Daniel Kouchekinia,Matthew Poremba",1
"Daniel R. Carvalho,Bobby R. Bruce",1
