Field,Value
"Pawel Miech,pawelmhm",1
"Pawel Miech,Paul Tremberth",1
"Yegor,jazzthief",1
"WinterComes,drs-11",1
"Wieland Hoffmann,Julia Medina",1
"Vostretsov Nikita,Mikhail Korobov",1
"Vostretsov Nikita,Júlio César Batista",1
"Valdir Stumm Junior,Wayne Lovely",1
"Türkalp Burak KAYRANCIOĞLU,Marlena Chatzigrigoriou",1
"Türkalp Burak KAYRANCIOĞLU,Eugenio Lacuesta",1
"Shadab Zafar,Mateusz Golewski",1
"Shadab Zafar,Daniel Graña",1
"dgrana,Pablo Hoffman",1
"databender,umair ansari",1
"daniel,Daniel Grana",1
"bulat,Bulat Khabibullin",1
"bosnj,Nikolaos-Digenis Karagiannis",1
"bagratte,rajathkumarmp",1
"artem,Daniel Grana",1
"anibal,olveyra",1
"anibal,Ezequiel Rivero",1
"aisha-partha,Adrián Chaves",1
"Alexey Vishnevsky,Daniel Graña",1
"Alexandr N Zamaraev (aka tonal),Pablo Hoffman",1
"Alexander Sibiryakov,Julia Medina",1
"Alex Cepoi,Daniel Graña",1
"Bulat Khabibullin,bulat",1
"BroodingKangaroo,Adrián Chaves",1
"Boris Zabolotskikh,Abhishek K M",1
"Bo Pace,bopace",1
"Aryan,Adrián Chaves",1
"Andrés Moreira,Pablo Hoffman",1
"Andrés Moreira,Daniel Graña",1
"Andrey Rakhmatullin,Rohit Kumar Singh",1
"adityaa30,Eugenio Lacuesta",1
"Zoltán Szeredi,Mikhail Korobov",1
"Yuri H. Galvao,Adrián Chaves",1
"mattkohl-flex,Adrián Chaves",1
"maranqz,Ammar Najjar",1
"kenshi kikuchi,namelessGonbai",1
"kenshi kikuchi,jazzthief",1
"irgmedeiros,Loren Davie",1
"elpolilla,Ismael Carnales",1
"elpolilla,Daniel Grana",1
"elpolilla,Andres Moreira",1
"elacuesta,sakshamb2113",1
"Adrián Chaves,MaliCN",1
"Adrián Chaves,BroodingKangaroo",1
"Andrey Rakhmatullin,Grammy Jiang",1
"Andrey Rakhmatullin,Bagaudin Magomedov",1
"Andrey Rakhmatullin,Ammar Najjar",1
"Andrey Rahmatullin,Maxime Nannan",1
"Ammar Najjar,maranqz",1
"elacuesta,Adrián Chaves",1
"eduardo,Daniel Grana",1
"djunzu,Aron Bordin",1
"pablo,Pablo Hoffman",1
"pablo,Daniel Grana",1
"olveyra,elpolilla",1
"olveyra,anibal",1
"nyov,Luar Roji",1
"nyov,Daniel Graña",1
"nyov,Artur Shellunts",1
"Νικόλαος-Διγενής Καραγιάννης,Paul Tremberth",1
"rajathkumarmp,bagratte",1
"purvaudai,Adrián Chaves",1
"Adrián Chaves,Eugenio Lacuesta",1
,
Committer Timezone Distribution,Unique Timezones: 24
Timezone,Commits
+00:00,1289
+01:00,1077
+02:00,967
+03:00,401
+03:30,2
+04:00,333
+04:30,10
+05:00,1383
+05:30,292
+06:00,187
+06:30,1
+07:00,40
+08:00,109
+09:00,35
+10:00,12
+11:00,5
+12:00,1
-02:00,807
-03:00,3180
-04:00,126
-05:00,120
-06:00,52
-07:00,159
-08:00,166
,
Contributors Experience,Average across 2078 files: 81.80%
File,Top Contributor Share (%)
.hgignore,100.00
sites/scrapy.org/site/README,100.00
sites/scrapy.org/site/apps/article/models.py,100.00
sites/scrapy.org/site/apps/article/templatetags/article_tags.py,100.00
sites/scrapy.org/site/apps/article/urls.py,100.00
sites/scrapy.org/site/apps/article/views.py,100.00
sites/scrapy.org/site/apps/blog/feeds.py,100.00
sites/scrapy.org/site/apps/blog/models.py,100.00
sites/scrapy.org/site/apps/blog/templatetags/lastblogentry.py,100.00
sites/scrapy.org/site/apps/blog/urls.py,100.00
