Field,Value
"Braqzen,rostyslavtyshko",1
"Braqzen,John Adler",1
"Brandon Kite,John Adler",1
"hal3e,Daniel Bate",1
"Andrew Cann,Nick Furfaro",1
"Andrew Cann,bing",1
"Alfie John,Joshua Batty",1
"bing,Vishwa Mehta",1
"bing,rashad",1
"bing,Toby Hutton",1
"iqdecay,Mohammad Fawaz",1
"Anton Trunov,bing",1
"Anton Trunov,Mohammad Fawaz",1
"Anton Trunov,IGI-111",1
"levisyin,Kaya Gökalp",1
"jjcnn,mo-hak",1
"jjcnn,Igor Rončević",1
"jjcnn,João Matos",1
"roy_fuel,Toby Hutton",1
"mitchmindtree,IGI-111",1
"sarahschwartz,Sophie Dankel",1
"sarahschwartz,Nick Furfaro",1
"Alex Hansen,Brandon Kite",1
"seem-less,bing",1
"zees-dev,Sophie Dankel",1
"zhou fan,JC",1
,
Committer Timezone Distribution,Unique Timezones: 20
Timezone,Commits
+00:00,1005
+01:00,214
+02:00,154
+03:00,69
+03:30,1
+04:00,104
+05:30,46
+07:00,4
+08:00,51
+09:00,3
+10:00,202
+11:00,245
+13:00,8
-03:00,22
-04:00,349
-05:00,289
-06:00,74
-07:00,295
-08:00,128
-10:00,1
,
Contributors Experience,Average across 9888 files: 83.56%
File,Top Contributor Share (%)
src/main.rs,100.00
core_lang/src/asm_generation/declaration/fn_decl.rs,100.00
core_lang/src/asm_generation/declaration/var_decl.rs,100.00
core_lang/src/control_flow_analysis/mod.rs,100.00
core_lang/src/semantics/ast_node/code_block.rs,100.00
core_lang/src/semantics/ast_node/declaration.rs,100.00
core_lang/src/semantics/ast_node/expression/enum_instantiation.rs,100.00
core_lang/src/semantics/ast_node/expression/match_branch.rs,100.00
core_lang/src/semantics/ast_node/expression/match_condition.rs,100.00
core_lang/src/semantics/ast_node/expression/mod.rs,100.00
