Field,Value
"Kostya Farber,Jeremy Tuloup",1
"Kyle Cutler,Jeremy Tuloup",1
"Julia Evans,MinRK",1
"Juergen Hasch,Min RK",1
"Matthias BUSSONNIER,Jonathan Frederic",1
"Jeremy Tuloup,Michael Barry",1
"Jeremy Tuloup,Mieju",1
"Mikhail Korobov,Brian E. Granger",1
"Min RK,KesterTong",1
"Jonathan Frederic,Gordon Ball",1
"Min RK,Peter Parente",1
"Min RK,MinRK",1
"Min RK,Carol Willing",1
"Michael Heilman,Min RK",1
"Mieju,Jeremy Tuloup",1
"Min RK,Andrew Shaffer",1
"Min RK,Brookie Guzder-Williams",1
"Michael Barry,Mike",1
"Jason Grout,Thomas Kluyver",1
"Jason Grout,Nicholas Bollweg (Nick)",1
"Min RK,Weston Hunter",1
"Min RK,Sylvain Corlay",1
"Min RK,Philipp A.",1
"Min RK,Pierre Gerold",1
"Jeff Hemmelgarn,jhemmelg",1
"Mathieu,Matthias Bussonnier",1
"Justin Tyberg,Matthias Bussonnier",1
"Jörgen Stenarson,MinRK",1
"Kent Inverarity,MinRK",1
"Kevin Bates,Min RK",1
"Matthias BUSSONNIER,Fernando Perez",1
"Babatunde Adeola,Min ho Kim",1
"Alberto Valverde,Paul Ivanov",1
"Afshin T. Darian,Afshin Taylor Darian",1
"sheshtawy,hkshesht",1
"sd,Dvoiak Stepan",1
"samarsultan,Thomas Kluyver",1
"samarsultan,Grant Nestor",1
"tobaeyen,Toon Baeyens",1
"unknown,Sylvain Corlay",1
"v923z,Jonathan Frederic",1
"tao,Joshua Zeltser",1
"韩韬,Joshua Zeltser",1
"Berend-Jan Lange,Erwin",1
"pre-commit-ci[bot],Steven Silvester",1
"Bradley M. Froehle,MinRK",1
"Andrea Bedini,Matthias BUSSONNIER",1
"Andrii Ieroshenko,Rosio",1
"Ashley Teoh,Thomas Kluyver",1
"Anastasis Germanidis,Min RK",1
"Grant Nestor,Joshua Zeltser",1
"Grant Nestor,Josh Barnes",1
"Grant Nestor,Jason Grout",1
"Gordon Ball,MinRK",1
"Gordon Ball,Jonathan Frederic",1
"Nick Tarleton,Brian Granger",1
"Nicholas Bollweg,pre-commit-ci[bot]",1
"Nathan Heijermans,Thomas Kluyver",1
"MinRK,Thomas Weißschuh",1
"Nathan Heijermans,Nicholas Bollweg (Nick)",1
"Nathan Daly,nvdv",1
"Mohammad Mostafa Farzan,Steinar Sturlaugsson",1
"Mohammad Mostafa Farzan,Christophe Cadilhac",1
"MinRK,Jessica B. Hamrick",1
"MinRK,Stefan van der Walt",1
"MinRK,Sylvain Corlay",1
"Jason Weill,pre-commit-ci[bot]",1
"Jaymin Shah,Jason Weill",1
"Jeremy Tuloup,Kian Eliasi",1
