Project_Name,Author,Mean_Commit_Time,Average_Daily_Code_Churn,Average_Daily_Num_Commits,Total_Commits
union,Kaan Caglan,31.9906103286385,2049.4,7.133333333333334,214
union,Karel L. Kubat,90.82584269662921,20784.445652173912,1.9456521739130435,179
union,Lukas,6.907809110629067,6.021978021978022,10.142857142857142,923
union,PoisonPhang,23.875549048316252,8879.533834586466,5.142857142857143,684
union,aeryz,18.562285714285714,5129.188571428572,5.005714285714285,876
union,ben,35.17791411042945,-42674.1756097561,1.5951219512195123,327
union,benluelo,17.625686059275523,33802.529411764706,3.3529411764705883,912
union,cor,6.117082533589252,1687.6447876447876,10.061776061776062,2606
union,hussein-aitlahcen,56.711743772241995,-15808.449197860962,1.5080213903743316,282
union,jurriaan,77.0,55.791666666666664,1.7916666666666667,86
union,kaancaglan,84.08,786.0666666666667,5.066666666666666,76
union,karel,123.93577981651376,-471.76190476190476,2.619047619047619,110
union,o-az,10.140664961636828,405.3137254901961,7.686274509803922,392
union,omar,10.099890230515916,-99.25850340136054,6.204081632653061,912
union,poisonphang,29.553370786516854,-64718.6231884058,5.173913043478261,357
ColossalAI,Baizhou Zhang,156.52,170.78125,1.59375,51
ColossalAI,BlueRum,380.9130434782609,37.77777777777778,1.3333333333333333,24
ColossalAI,Boyuan Yao,92.20689655172414,141.67391304347825,1.2826086956521738,59
ColossalAI,Camille Zhong,637.6190476190476,56.21052631578947,1.1578947368421053,22
ColossalAI,Edenzzzz,135.0,235.52,1.08,27
ColossalAI,Fazzie-Maqianli,135.46153846153845,442.5806451612903,1.2903225806451613,40
ColossalAI,FoolPlayer,49.666666666666664,2340.5,8.5,34
ColossalAI,Frank Lee,43.702586206896555,-70.23783783783784,2.5135135135135136,465
ColossalAI,GuangyaoZhang,38.76190476190476,440.85714285714283,3.142857142857143,22
ColossalAI,HELSON,85.56488549618321,76.26136363636364,1.5,132
ColossalAI,Hongxin Liu,84.57948717948717,149.61313868613138,1.4306569343065694,196
ColossalAI,Jianghai,152.8448275862069,354.46666666666664,1.9666666666666666,59
ColossalAI,Jiarui Fang,30.553459119496857,87.10236220472441,2.5118110236220472,319
ColossalAI,LuGY,369.25714285714287,104.41379310344827,1.2413793103448276,36
ColossalAI,Maruyama_Aya,418.65384615384613,994.2142857142857,1.9285714285714286,27
ColossalAI,Runyu Lu,143.45833333333334,509.6923076923077,1.9230769230769231,25
ColossalAI,Super Daniel,119.45833333333333,233.28571428571428,1.1666666666666667,49
ColossalAI,Tong Li,518.6875,73.44444444444444,1.2222222222222223,33
ColossalAI,Wenhao Chen,334.2857142857143,238.9047619047619,1.0476190476190477,22
ColossalAI,YeAnbang,212.06153846153848,764.5,2.75,66
ColossalAI,Yuanchen,286.30434782608694,373.04347826086956,1.0434782608695652,24
ColossalAI,Yuanheng Zhao,123.53703703703702,1007.9444444444445,1.5277777777777777,55
ColossalAI,YuliangLiu0306,47.005405405405405,170.23333333333332,1.55,186
ColossalAI,Ziyue Jiang,179.36363636363637,82.58536585365853,1.3658536585365855,56
ColossalAI,binmakeswell,215.17910447761193,122.22330097087378,1.3106796116504855,135
ColossalAI,digger yu,177.52272727272728,0.5757575757575758,1.3636363636363635,45
ColossalAI,digger-yu,36.76190476190476,1.0,1.5714285714285714,22
ColossalAI,flybird11111,170.53246753246754,190.6,1.2,78
ColossalAI,hxwang,45.31707317073171,1431.625,5.25,42
ColossalAI,jiangmingyan,105.5,203.25,1.9166666666666667,23
ColossalAI,jiaruifang,278.6296296296296,-146.28571428571428,4.0,28
ColossalAI,oahzxl,34.63194444444444,1816.8333333333333,3.4523809523809526,145
ColossalAI,ver217,113.39830508474576,183.18852459016392,1.9426229508196722,237
ColossalAI,wangbluo,62.640625,103.89473684210526,3.4210526315789473,65
ColossalAI,yuehuayingxueluo,75.67391304347827,245.04,1.88,47
ColossalAI,アマデウス,699.5882352941177,158.34782608695653,1.5217391304347827,35
ColossalAI,傅剑寒,78.19047619047619,36.05263157894737,1.1578947368421053,22
Jarvis,Ander Raso Vázquez,2.736842105263158,78.83333333333333,6.5,39
Jarvis,Arpit Choudhary,162.0340909090909,31.988505747126435,2.0344827586206895,177
Jarvis,Brent,15.199999999999998,89.66666666666667,4.333333333333333,26
Jarvis,Lucas Keune,3.6774193548387095,138.4,6.4,32
Jarvis,Methenitis,11.413793103448276,107.0,5.0,30
Jarvis,Milind Sharma,13.3,76.0,10.5,21
Jarvis,Philipp Hofmann,588.2289156626506,60.95,4.2,84
Jarvis,StefanosChaliasos,195.46478873239434,51.07142857142857,2.5714285714285716,72
