Field,Value
Completion/Builtins/_functions,57.14
Completion/Builtins/_hash,55.56
Completion/Builtins/_jobs,100.00
Completion/Builtins/_kill,100.00
Completion/Builtins/_limits,100.00
Completion/Builtins/_nothing,60.00
Completion/Builtins/_pids,56.99
Completion/Builtins/_popd,46.51
Completion/Builtins/_print,100.00
Completion/Builtins/_read,100.00
Completion/Builtins/_sched,84.62
Completion/Builtins/_set,100.00
Completion/Builtins/_setopt,100.00
Completion/Builtins/_signals,76.60
Completion/Builtins/_source,61.11
Completion/Builtins/_stat,60.00
Completion/Builtins/_trap,100.00
Completion/Builtins/_unhash,69.23
Completion/Builtins/_unsetopt,100.00
Completion/Builtins/_vars,53.85
Completion/Builtins/_vars_eq,80.61
Completion/Builtins/_wait,100.00
Completion/Builtins/_which,81.63
Completion/Builtins/_zcompile,51.16
Completion/Builtins/_zftp,54.62
Completion/Builtins/_zle,82.42
Completion/Builtins/_zmodload,55.26
Completion/Builtins/_zpty,49.47
Completion/Builtins/_zstyle,43.49
Completion/Commands/.distfiles,54.55
Completion/Commands/_bash_completions,72.88
Completion/Commands/_complete_debug,86.05
Completion/Commands/_complete_help,45.38
Completion/Commands/_complete_tag,95.00
Completion/Commands/_correct_filename,100.00
Completion/Commands/_correct_word,50.00
Completion/Commands/_expand_word,59.38
Completion/Commands/_generic,100.00
Completion/Commands/_history_complete_word,50.23
Completion/Commands/_most_recent_file,100.00
Completion/Commands/_next_tags,51.53
Completion/Commands/_read_comp,100.00
Completion/Commands/_verbose_list,100.00
Completion/Core/.distfiles,39.29
Completion/Core/_all_labels,51.16
Completion/Core/_all_matches,100.00
Completion/Core/_alternative,69.31
Completion/Core/_approximate,72.16
Completion/Core/_call,81.25
Completion/Core/_comp_parts,100.00
Completion/Core/_compalso,50.00
Completion/Core/_complete,55.33
Completion/Core/_correct,90.48
Completion/Core/_description,42.31
Completion/Core/_display,100.00
Completion/Core/_expand,50.35
Completion/Core/_expand_alias,100.00
Completion/Core/_file_descriptors,92.00
Completion/Core/_files,59.04
Completion/Core/_funcall,100.00
Completion/Core/_history,100.00
Completion/Core/_ignored,51.72
Completion/Core/_list,83.56
Completion/Core/_loop,100.00
Completion/Core/_main_complete,51.24
Completion/Core/_match,47.32
Completion/Core/_matcher,100.00
Completion/Core/_menu,87.50
Completion/Core/_message,52.78
Completion/Core/_multi_parts,55.13
Completion/Core/_next_label,61.54
Completion/Core/_normal,70.33
Completion/Core/_oldlist,85.71
Completion/Core/_options,50.00
Completion/Core/_parameters,57.50
Completion/Core/_path_files,40.92
Completion/Core/_prefix,42.62
Completion/Core/_requested,51.61
Completion/Core/_sep_parts,74.35
Completion/Core/_set_options,58.33
Completion/Core/_setup,60.42
Completion/Core/_sort_tags,73.68
Completion/Core/_style,100.00
Completion/Core/_tags,50.62
Completion/Core/_try,100.00
Completion/Core/_unset_options,58.33
Completion/Core/_wanted,41.18
Completion/Core/compaudit,100.00
Completion/Core/compdump,54.94
Completion/Core/compinit,40.82
Completion/Core/compinstall,89.52
Completion/Cvs/.distfiles,100.00
Completion/Cvs/_cvs,100.00
Completion/Cvs/_cvs_D,100.00
Completion/Cvs/_cvs_add,100.00
Completion/Cvs/_cvs_admin,100.00
Completion/Cvs/_cvs_admin_t,100.00
Completion/Cvs/_cvs_annotate,100.00
Completion/Cvs/_cvs_bindir,100.00
Completion/Cvs/_cvs_checkout,100.00
Completion/Cvs/_cvs_command,100.00
Completion/Cvs/_cvs_commit,100.00
Completion/Cvs/_cvs_diff,100.00
Completion/Cvs/_cvs_diff_arg,100.00
Completion/Cvs/_cvs_directories,100.00
Completion/Cvs/_cvs_edit,100.00
Completion/Cvs/_cvs_editor,100.00
Completion/Cvs/_cvs_editors,100.00
Completion/Cvs/_cvs_export,100.00
Completion/Cvs/_cvs_extract_directory_entries,100.00
Completion/Cvs/_cvs_extract_file_entries,100.00
Completion/Cvs/_cvs_extract_modifiedfile_entries,100.00
Completion/Cvs/_cvs_files,100.00
Completion/Cvs/_cvs_files_modified,100.00
Completion/Cvs/_cvs_files_removed,100.00
Completion/Cvs/_cvs_files_unmaintained,100.00
Completion/Cvs/_cvs_gzip_level,100.00
Completion/Cvs/_cvs_history,100.00
Completion/Cvs/_cvs_history_x,100.00
Completion/Cvs/_cvs_import,100.00
Completion/Cvs/_cvs_init,100.00
Completion/Cvs/_cvs_k,100.00
Completion/Cvs/_cvs_login,100.00
Completion/Cvs/_cvs_logout,100.00
Completion/Cvs/_cvs_m,100.00
Completion/Cvs/_cvs_modules,100.00
Completion/Cvs/_cvs_rdiff,100.00
Completion/Cvs/_cvs_release,100.00
Completion/Cvs/_cvs_remove,100.00
Completion/Cvs/_cvs_revisions,100.00
Completion/Cvs/_cvs_root,100.00
Completion/Cvs/_cvs_setup_allentries,100.00
Completion/Cvs/_cvs_setup_direntries,100.00
Completion/Cvs/_cvs_setup_modentries,100.00
Completion/Cvs/_cvs_setup_prefix,100.00
Completion/Cvs/_cvs_status,100.00
Completion/Cvs/_cvs_tag,100.00
Completion/Cvs/_cvs_tempdir,100.00
Completion/Cvs/_cvs_unedit,100.00
Completion/Cvs/_cvs_update,100.00
Completion/Cvs/_cvs_user_variable,100.00
Completion/Cvs/_cvs_watch,100.00
Completion/Cvs/_cvs_watchers,100.00
Completion/Cygwin/Command/.distfiles,50.00
Completion/Cygwin/Command/_cygcheck,66.67
Completion/Cygwin/Command/_cygpath,62.26
Completion/Cygwin/Command/_cygrunsrv,49.37
Completion/Cygwin/Command/_cygserver,51.43
Completion/Cygwin/Command/_cygstart,50.85
Completion/Cygwin/Command/_dumper,61.90
Completion/Cygwin/Command/_getclip,50.00
Completion/Cygwin/Command/_getfacl,63.16
Completion/Cygwin/Command/_mkshortcut,52.17
Completion/Cygwin/Command/_mkzsh,83.33
Completion/Cygwin/Command/_pscp,77.42
Completion/Cygwin/Command/_putclip,48.00
Completion/Cygwin/Command/_readshortcut,100.00
Completion/Cygwin/Command/_setfacl,100.00
Completion/Darwin/Command/.distfiles,53.85
Completion/Darwin/Command/_caffeinate,100.00
Completion/Darwin/Command/_defaults,95.24
Completion/Darwin/Command/_fink,96.51
Completion/Darwin/Command/_fs_usage,96.55
Completion/Darwin/Command/_hdiutil,85.98
Completion/Darwin/Command/_mdfind,100.00
Completion/Darwin/Command/_mdls,100.00
