Project Name,Author,Code Churn,Bug Fix Commit Count,Avg PR Merge Time (hours),Avg Issue Resolution Time (hours),Lead Time for Changes (hours),Code Churn per PR,Issue Re-opening Rate,Total Commits,Total PRs,Total Issues,Total Code Reviews,Total CI/CD Runs,CI/CD Success Rate,Total Deployments,Total Contributors
Archon,HoangNB,-3,11,120.84932098765432,45.48544117647059,166.33476216412492,-0.1428571428571428,0.3548387096774194,1,20,30,0,0,0.9666666666666668,0,8
Archon,Michaelzag,1,11,120.84932098765432,45.48544117647059,166.33476216412492,0.0476190476190476,0.3548387096774194,1,20,30,0,0,0.9666666666666668,0,8
Archon,Wirasm,48,11,120.84932098765432,45.48544117647059,166.33476216412492,2.2857142857142856,0.3548387096774194,1,20,30,0,0,0.9666666666666668,0,8
Archon,cannuri,0,11,120.84932098765432,45.48544117647059,166.33476216412492,0.0,0.3548387096774194,1,20,30,0,0,0.9666666666666668,0,8
Archon,takshit12,8,11,120.84932098765432,45.48544117647059,166.33476216412492,0.3809523809523809,0.3548387096774194,1,20,30,0,0,0.9666666666666668,0,8
ColossalAI,1SAA,1873,7545,40.91129166666666,83.26543981481481,124.17673148148148,12.083870967741936,48.67741935483871,5,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Alex_996,0,1509,40.91129166666666,83.26543981481481,124.17673148148148,0.0,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Andreas Reischuck,0,1509,40.91129166666666,83.26543981481481,124.17673148148148,0.0,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Arsmart1,3,7545,40.91129166666666,83.26543981481481,124.17673148148148,0.01935483870967742,48.67741935483871,5,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Baizhou Zhang,5467,75450,40.91129166666666,83.26543981481481,124.17673148148147,3.527096774193548,48.67741935483871,50,30,30,30,30,0.6666666666666666,0,30
ColossalAI,BigOneLiXiaoMing,-1,1509,40.91129166666666,83.26543981481481,124.17673148148148,-0.032258064516129,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Bin Jia,3019,21126,40.91129166666666,83.26543981481481,124.17673148148148,6.956221198156682,48.67741935483871,14,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Blagoy Simandoff,0,1509,40.91129166666666,83.26543981481481,124.17673148148148,0.0,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,BlueRum,680,36216,40.91129166666666,83.26543981481481,124.17673148148147,0.9139784946236559,48.67741935483871,24,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Boyuan Yao,6399,87522,40.91129166666666,83.26543981481481,124.17673148148148,3.5589543937708563,48.67741935483871,58,30,30,30,30,0.6666666666666666,0,30
ColossalAI,BurkeHulk,234,9054,40.91129166666666,83.26543981481481,124.17673148148147,1.2580645161290323,48.67741935483871,6,30,30,30,30,0.6666666666666666,0,30
ColossalAI,CH.Li,0,1509,40.91129166666666,83.26543981481481,124.17673148148148,0.0,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,CZYCW,1,6036,40.91129166666666,83.26543981481481,124.17673148148148,0.008064516129032251,48.67741935483871,4,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Camille Zhong,1068,33198,40.91129166666666,83.26543981481481,124.1767314814815,1.5659824046920823,48.67741935483871,22,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Cautiousss,1,4527,40.91129166666666,83.26543981481481,124.17673148148147,0.010752688172043,48.67741935483871,3,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Chandler-Bing,0,1509,40.91129166666666,83.26543981481481,124.17673148148148,0.0,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Charles Coulombe,2,1509,40.91129166666666,83.26543981481481,124.17673148148148,0.064516129032258,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,ChengDaqi2023,0,1509,40.91129166666666,83.26543981481481,124.17673148148148,0.0,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,CjhHa1,21,4527,40.91129166666666,83.26543981481481,124.17673148148147,0.22580645161290325,48.67741935483871,3,30,30,30,30,0.6666666666666666,0,30
ColossalAI,CsRic,544,19617,40.91129166666666,83.26543981481481,124.17673148148148,1.3498759305210917,48.67741935483871,13,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Cuiqing Li (李崔卿),3083,10563,40.91129166666666,83.26543981481481,124.17673148148148,14.207373271889404,48.67741935483871,7,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Desperado-Jia,4,3018,40.91129166666666,83.26543981481481,124.17673148148148,0.06451612903225805,48.67741935483871,2,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Deyuan Guo,3,3018,40.91129166666666,83.26543981481481,124.17673148148148,0.04838709677419355,48.67741935483871,2,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Dongruixuan Li,0,1509,40.91129166666666,83.26543981481481,124.17673148148148,0.0,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,DouJS,-4,7545,40.91129166666666,83.26543981481481,124.17673148148148,-0.025806451612903215,48.67741935483871,5,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Dr-Corgi,3,1509,40.91129166666666,83.26543981481481,124.17673148148148,0.0967741935483871,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Dustin Lundquist,0,1509,40.91129166666666,83.26543981481481,124.17673148148148,0.0,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Edenzzzz,5878,39234,40.91129166666666,83.26543981481481,124.17673148148148,7.292803970223326,48.67741935483871,26,30,30,30,30,0.6666666666666666,0,30
ColossalAI,ExtremeViscent,14,6036,40.91129166666666,83.26543981481481,124.17673148148148,0.1129032258064516,48.67741935483871,4,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Fan Cui,934,1509,40.91129166666666,83.26543981481481,124.17673148148148,30.12903225806452,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Fazzie,2389,6036,40.91129166666666,83.26543981481481,124.17673148148148,19.266129032258064,48.67741935483871,4,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Fazzie-Maqianli,11330,48288,40.91129166666666,83.26543981481481,124.17673148148148,11.421370967741934,48.67741935483871,32,30,30,30,30,0.6666666666666666,0,30
ColossalAI,FoolPlayer,9362,48288,40.91129166666666,83.26543981481481,124.17673148148148,9.4375,48.67741935483871,32,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Frank Leon Rose,-23673,688104,40.91129166666666,83.26543981481481,124.17673148148148,-1.674660441426146,48.677419354838705,456,30,30,30,30,0.6666666666666666,0,30
ColossalAI,FredHuang99,44,3018,40.91129166666666,83.26543981481481,124.17673148148148,0.7096774193548387,48.67741935483871,2,30,30,30,30,0.6666666666666666,0,30
ColossalAI,"Gao, Ruiyuan",0,3018,40.91129166666666,83.26543981481481,124.17673148148148,0.0,48.67741935483871,2,30,30,30,30,0.6666666666666666,0,30
ColossalAI,HELSON,6711,199188,40.91129166666666,83.26543981481481,124.17673148148148,1.6400293255131964,48.67741935483871,132,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Hai Zhu,166,9054,40.91129166666666,83.26543981481481,124.17673148148147,0.89247311827957,48.67741935483871,6,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Hanks,743,6036,40.91129166666666,83.26543981481481,124.17673148148148,5.991935483870968,48.67741935483871,4,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Haofan Wang,691,9054,40.91129166666666,83.26543981481481,124.17673148148147,3.71505376344086,48.67741935483871,6,30,30,30,30,0.6666666666666666,0,30
ColossalAI,HaoyuQin,-10,1509,40.91129166666666,83.26543981481481,124.17673148148148,-0.3225806451612903,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Hong Xu,105,1509,40.91129166666666,83.26543981481481,124.17673148148148,3.3870967741935485,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Huang-Huang Bao,-13,7545,40.91129166666666,83.26543981481481,124.17673148148148,-0.08387096774193545,48.67741935483871,5,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Ikko Eltociear Ashimine,0,1509,40.91129166666666,83.26543981481481,124.17673148148148,0.0,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Insu Jang,31,3018,40.91129166666666,83.26543981481481,124.17673148148148,0.5,48.67741935483871,2,30,30,30,30,0.6666666666666666,0,30
ColossalAI,JIMMY ZHAO,-3,1509,40.91129166666666,83.26543981481481,124.17673148148148,-0.0967741935483871,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,JT.Han,-15,1509,40.91129166666666,83.26543981481481,124.17673148148148,-0.4838709677419355,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Jan Roudaut,1,3018,40.91129166666666,83.26543981481481,124.17673148148148,0.0161290322580645,48.67741935483871,2,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Jeff Rasley,1,1509,40.91129166666666,83.26543981481481,124.17673148148148,0.032258064516129,48.67741935483871,1,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Jeffrey Noehren,4920,63378,40.91129166666666,83.26543981481481,124.17673148148148,3.7788018433179724,48.67741935483871,42,30,30,30,30,0.6666666666666666,0,30
ColossalAI,Jianghai,9496,87522,40.91129166666666,83.26543981481481,124.17673148148148,5.281423804226919,48.67741935483871,58,30,30,30,30,0.6666666666666666,0,30
