Project Name,Author,Total Commits,Total PRs,Avg PR Merge Time (hours),Total Issues,Avg Issue Resolution Time (hours),Total Code Reviews,Total CI/CD Runs,CI/CD Success Rate,Total Deployments,Total Contributors,Bug Fix Commit Count,log_defect_density,log_lead_time,log_code_churn,logit_failed_rate
nanoGPT,Akash Mahajan,4,60,16.175555555555555,60,1.8314141414141407,30,0,0.9666666666666668,0,30,102,-7.051596315208028,2.890758888338709,-6.522402571529227,-3.367295829986478
nanoGPT,Alexander Richardson,16,120,16.175555555555555,120,1.8314141414141407,60,0,0.9666666666666668,0,30,204,-0.9914859522116524,2.890758888338709,-10.772189852287479,-3.367295829986478
nanoGPT,Andreas Reischuck,1,30,16.175555555555555,30,1.8314141414141407,15,0,0.9666666666666668,0,30,51,3.9318256327243257,2.890758888338709,-13.815510557964274,-3.367295829986478
nanoGPT,Andrej Karpathy,12996,3420,16.175555555555555,3420,1.8314141414141407,1710,0,0.9666666666666668,0,30,5814,inf,2.8907588883387096,-6.282711965009623,-3.367295829986478
nanoGPT,Andrew Tavis McAllister,9,90,16.175555555555555,90,1.8314141414141407,45,0,0.9666666666666668,0,30,153,1.938020895639499,2.890758888338709,-4.935249728384975,-3.367295829986478
nanoGPT,Corentin Jemine,1,30,16.175555555555555,30,1.8314141414141407,15,0,0.9666666666666668,0,30,51,3.9318256327243257,2.890758888338709,-13.815510557964274,-3.367295829986478
nanoGPT,DG,9,90,16.175555555555555,90,1.8314141414141407,45,0,0.9666666666666668,0,30,153,3.2386784521643803,2.890758888338709,-3.433987204485147,-3.367295829986478
nanoGPT,Devin Austin,1,30,16.175555555555555,30,1.8314141414141407,15,0,0.9666666666666668,0,30,51,3.9318256327243257,2.890758888338709,-13.815510557964274,-3.367295829986478
nanoGPT,Driss Guessous,1,30,16.175555555555555,30,1.8314141414141407,15,0,0.9666666666666668,0,30,51,3.9318256327243257,2.890758888338709,-13.815510557964274,-3.367295829986478
nanoGPT,Guilherme Fabrizio,4,60,16.175555555555555,60,1.8314141414141407,30,0,0.9666666666666668,0,30,102,2.231226941893248,2.890758888338709,-1.936121067708151,-3.367295829986478
nanoGPT,Jan-Peter Larsson,1,30,16.175555555555555,30,1.8314141414141407,15,0,0.9666666666666668,0,30,51,3.9318256327243257,2.890758888338709,-13.815510557964274,-3.367295829986478
nanoGPT,Jelle Hak,1,30,16.175555555555555,30,1.8314141414141407,15,0,0.9666666666666668,0,30,51,3.9318256327243257,2.890758888338709,-13.815510557964274,-3.367295829986478
nanoGPT,Jiatong (Julius) Han,1,30,16.175555555555555,30,1.8314141414141407,15,0,0.9666666666666668,0,30,51,2.1400661634962708,2.890758888338709,-1.8245492920510462,-3.367295829986478
nanoGPT,Jonathan Argentiero,1,30,16.175555555555555,30,1.8314141414141407,15,0,0.9666666666666668,0,30,51,3.9318256327243257,2.890758888338709,-13.815510557964274,-3.367295829986478
nanoGPT,Kirill,1,30,16.175555555555555,30,1.8314141414141407,15,0,0.9666666666666668,0,30,51,3.2386784521643803,2.890758888338709,-3.433987204485147,-3.367295829986478
nanoGPT,Lewis,1,30,16.175555555555555,30,1.8314141414141407,15,0,0.9666666666666668,0,30,51,2.322387720290225,2.890758888338709,-2.047692843365256,-3.367295829986478
