Project Name,Author,Total Commits,Total PRs,Total Issues,Total Code Reviews,Total CI/CD Runs,Total Deployments,Total Contributors,Bug Fix Commit Count,Defect Density (Bugs per LOC),Failed Build/Test Rate,Lead Time for Changes (hours),Deployment Frequency,Code Churn per PR,Issue Re-opening Rate,CI/CD Success Rate,Avg PR Merge Time (hours),Avg Issue Resolution Time (hours)
ColossalAI,Fazzie-Maqianli,1024,960,960,960,960,0,30,48288,228.35463335081852,0.3333333333333333,124.17673148148148,0.0,11.421370967741934,48.67741935483871,0.005985783763561542,0.36732921810699587,0.7476133765639938
ColossalAI,FoolPlayer,1024,960,960,960,960,0,30,48288,24.467096551654627,0.3333333333333333,124.17673148148148,0.0,9.4375,48.67741935483871,0.005985783763561542,0.36732921810699587,0.7476133765639938
ColossalAI,Frank Leon Rose,207936,13680,13680,13680,13680,0,30,688104,inf,0.3333333333333333,124.17673148148148,0.0,-1.674660441426146,48.677419354838705,0.08529741863075196,5.234441358024691,10.653490616036912
ColossalAI,FredHuang99,4,60,60,60,60,0,30,3018,-236.10204081632654,0.3333333333333333,124.17673148148148,0.0,0.7096774193548387,48.67741935483871,0.00037411148522259637,0.022958076131687242,0.046725836035249615
ColossalAI,"Gao, Ruiyuan",4,60,60,60,60,0,30,3018,1509.0,0.3333333333333333,124.17673148148148,0.0,0.0,48.67741935483871,0.00037411148522259637,0.022958076131687242,0.046725836035249615
ColossalAI,HELSON,17424,3960,3960,3960,3960,0,30,199188,inf,0.3333333333333333,124.17673148148148,0.0,1.6400293255131964,48.67741935483871,0.024691358024691357,1.515233024691358,3.083905178326474
ColossalAI,Hai Zhu,36,180,180,180,180,0,30,9054,336.771358294119,0.3333333333333333,124.17673148148147,0.0,0.89247311827957,48.67741935483871,0.0011223344556677889,0.06887422839506172,0.14017750810574883
ColossalAI,Hanks,16,120,120,120,120,0,30,6036,387.67705052252296,0.3333333333333333,124.17673148148148,0.0,5.991935483870968,48.67741935483871,0.0007482229704451927,0.045916152263374484,0.09345167207049923
ColossalAI,Haofan Wang,36,180,180,180,180,0,30,9054,inf,0.3333333333333333,124.17673148148147,0.0,3.71505376344086,48.67741935483871,0.0011223344556677889,0.06887422839506172,0.14017750810574883
ColossalAI,HaoyuQin,1,30,30,30,30,0,30,1509,-167.66666666666666,0.3333333333333333,124.17673148148148,0.0,-0.3225806451612903,48.67741935483871,0.00018705574261129818,0.011479038065843621,0.023362918017624808
ColossalAI,Hong Xu,1,30,30,30,30,0,30,1509,14.235849056603774,0.3333333333333333,124.17673148148148,0.0,3.3870967741935485,48.67741935483871,0.00018705574261129818,0.011479038065843621,0.023362918017624808
ColossalAI,Huang-Huang Bao,25,150,150,150,150,0,30,7545,inf,0.3333333333333333,124.17673148148148,0.0,-0.08387096774193545,48.67741935483871,0.0009352787130564907,0.057395190329218096,0.11681459008812403
ColossalAI,Ikko Eltociear Ashimine,1,30,30,30,30,0,30,1509,1509.0,0.3333333333333333,124.17673148148148,0.0,0.0,48.67741935483871,0.00018705574261129818,0.011479038065843621,0.023362918017624808
ColossalAI,Insu Jang,4,60,60,60,60,0,30,3018,401.58870967741933,0.3333333333333333,124.17673148148148,0.0,0.5,48.67741935483871,0.00037411148522259637,0.022958076131687242,0.046725836035249615
ColossalAI,JIMMY ZHAO,1,30,30,30,30,0,30,1509,-754.5,0.3333333333333333,124.17673148148148,0.0,-0.0967741935483871,48.67741935483871,0.00018705574261129818,0.011479038065843621,0.023362918017624808
ColossalAI,JT.Han,1,30,30,30,30,0,30,1509,-107.78571428571428,0.3333333333333333,124.17673148148148,0.0,-0.4838709677419355,48.67741935483871,0.00018705574261129818,0.011479038065843621,0.023362918017624808
ColossalAI,Jan Roudaut,4,60,60,60,60,0,30,3018,1131.75,0.3333333333333333,124.17673148148148,0.0,0.0161290322580645,48.67741935483871,0.00037411148522259637,0.022958076131687242,0.046725836035249615
ColossalAI,Jeff Rasley,1,30,30,30,30,0,30,1509,754.5,0.3333333333333333,124.17673148148148,0.0,0.032258064516129,48.67741935483871,0.00018705574261129818,0.011479038065843621,0.023362918017624808
ColossalAI,Jeffrey Noehren,1764,1260,1260,1260,1260,0,30,63378,460.0363112395234,0.3333333333333333,124.17673148148148,0.0,3.7788018433179724,48.67741935483871,0.007856341189674522,0.4821195987654321,0.9812425567402419
