Field,Value
"Vladislav Kramorenko,Aleksandr Egorov",1
"Vitaliy Kucheryaviy,Sebastián Ramírez",1
"Thomas Maschler,Sebastián Ramírez",1
"Thomas Maschler,Aviram Hassan",1
"Daniel Murrell,Teofilo Zosa",1
"Daniel Kusy,johnthagen",1
"Daniel Kusy,Marcelo Trylesinski",1
"Cássio Botaro,duganchen",1
"Charlie Marsh,Sebastián Ramírez",1
"Cesare De Cal,Xie Wei",1
"Cesare De Cal,Nick Rushton",1
"dmontagu,François Voron",1
"dedkot,Vladislav Kramorenko",1
"dasstyxx,tim-habitat",1
"cyril,Camila Gutierrez",1
"bilal alpaslan,Madat Bay",1
"Zamir Amir,Trim21",1
"Yurii Karabas,Nima Mashhadi M. Reza",1
"Yasser Tahiri,github-actions",1
"Yasser Tahiri,dependabot[bot]",1
"Yashasvi Singh,Mukul Mantosh",1
"Yagiz Degirmenci,bilal alpaslan",1
"Xucong ZHAN,wxq0309",1
"Xie Wei,Spaceack",1
"Xie Wei,Shucai.wang",1
"Xie Wei,JAYATI SHRIVASTAVA",1
"Xie Wei,Ikkyu",1
"Axel,gusty1g",1
"Aviram Hassan,retnikt",1
"Atiab Bin Zakaria,Marcelo Trylesinski",1
"ArcLight_Slavik,Taneli Hukkinen",1
"Ankit Anchlia,Turabek Gaybullaev",1
"Anita Hammer,kittydoor",1
"github-actions,malicious",1
"github-actions,Yasser Tahiri",1
"github-actions,SaintMalik",1
"github-actions,Hasan Sezer Taşan",1
"github-actions,Francis Bergin",1
"github-actions,Alejandra",1
"felipebpl,Bruno Artur Torres Lopes Pereira",1
"duganchen,Harsha Laxman",1
"dompatmore,T",1
"dmontagu,jonathanunderwood",1
"Alexandr,ivan-abc",1
"谭九鼎,Sebastián Ramírez",1
"清靈語,Alejandra",1
"水上 皓登,Sebastián Ramírez",1
"李冬冬,Sebastián Ramírez",1
"吴定焕,雨过初晴",1
"नवुले पवन कुमार राव,Marcelo Trylesinski",1
"zamiramir,Sebastián Ramírez",1
"wakabame,Robin",1
"vjanz,Xie Wei",1
"Alexandr,Artem Golicyn",1
"mikaello,Vinny Do",1
"mikaello,Sebastián Ramírez",1
"malicious,theoohoho",1
"Aadarsha Shrestha,Geoff Dworkin",1
"malicious,Piotr Szaciłowski",1
"silvanmelchior,Yashasvi Singh",1
"sattosan,Sebastián Ramírez",1
"paintdog,Sebastián Ramírez",1
"oandersonmagalhaes,Mark H",1
"nukopy,谭九鼎",1
"naxty,Sebastián Ramírez",1
"Amit Chaudhary,vjanz",1
"Alejandra,github-actions",1
"ASpathfinder,Zssaer",1
"雨过初晴,lordqyxz",1
"Alicrazy,maoyibo",1
"tim-habitat,Geoff Dworkin",1
"tinyboxvk,dependabot[bot]",1
"Ben,नवुले पवन कुमार राव",1
"malicious,github-actions",1
"Aliaksei Urbanski,Sebastián Ramírez",1
,
Committer Timezone Distribution,Unique Timezones: 10
Timezone,Commits
+00:00,2745
+01:00,648
+02:00,1005
+03:00,9
+04:00,562
+08:00,1
-03:00,2
-05:00,629
-07:00,45
-08:00,1
,
Contributors Experience,Average across 3002 files: 90.70%
File,Top Contributor Share (%)
fastapi/pydantic_utils.py,100.00
fastapi/security/base.py,100.00
tests/endpoints/a.py,100.00
tests/endpoints/b.py,100.00
LICENSE,100.00
dist/fastapi-0.1.0/pyproject.toml,100.00
docs/img/icon-white.svg,100.00
docs/img/logo-teal-vector.svg,100.00
docs/img/logo-teal.svg,100.00
docs/tutorial/index.md,100.00
