Field,Value
"Mark Shinwell,alainfrisch",4
"Miod Vallat,Gabriel Scherer",4
"David Allsopp,Jeremie Dimino",4
"Pierre Weis,Jacques Garrigue",4
"Daniel Bünzli,David Allsopp",4
"Pierre Chambart,Hugo Heuzard",4
"Sadiq Jaffer,Gabriel Scherer",4
"Nicolas Pouillard,Damien Doligez",4
"Nicolás Ojeda Bär,Anil Madhavapeddy",4
"Olivier Nicole,Sébastien Hinderer",4
"Pierre Chambart,Gabriel Scherer",4
"Nicolás Ojeda Bär,Nick Barnes",4
"octachron,Jérémie Dimino",4
"Daniel de Rauglaudre,Jacques Garrigue",4
"Jacques-Henri Jourdan,Gabriel Scherer",4
"Florian Angeletti,Antonin Décimo",4
"Nathanaël Courant,Ulysse Gérard",4
"Jacques Garrigue,Stephen Dolan",4
"octachron,Jeremie Dimino",4
"alban,Gabriel Scherer",4
"Gabriel Scherer,Leo White",4
"Gabriel Scherer,KC Sivaramakrishnan",4
"Nicolás Ojeda Bär,Leo White",4
"Damien Doligez,KC Sivaramakrishnan",4
"Seb Hinderer,Gabriel Scherer",4
"Jacques Garrigue,Fabrice Le Fessant",4
"Damien Doligez,Fabrice Le Fessant",4
"Florian Angeletti,Nick Barnes",4
"Guillaume Munch-Maccagnoni,Florian Angeletti",4
"Thomas Refis,Mark Shinwell",4
"Leo White,Xavier Leroy",4
"Mark Li,Runhang Li",4
"Luc Maranget,Jacques Garrigue",4
"John Whitington,Xavier Leroy",4
"John Whitington,Gabriel Scherer",4
"Stephen Dolan,Alain Frisch",4
"Stephen Dolan,Florian Angeletti",4
"Stephen Dolan,Damien Doligez",4
"Sébastien Hinderer,octachron",4
"Jérémie Dimino,Jeremie Dimino",4
"Tom Kelly,Sadiq Jaffer",4
"Tom Kelly,Xavier Leroy",4
"Tom Kelly,Stephen Dolan",4
"Gabriel Scherer,eutro",4
"Kyle Miller,Armaël Guéneau",4
"Kate,Gabriel Scherer",4
"Konstantin Romanov,Gabriel Scherer",4
"Ulysse Gérard,Nathanaël Courant",4
"Valentin Gatien-Baron,zapashcanon",4
"Vincent Laviron,Jacques Garrigue",4
"Xavier Leroy,Enguerrand Decorne",4
"alainfrisch,David Allsopp",4
"Xavier Leroy,Sadiq Jaffer",4
"Xavier Leroy,KC Sivaramakrishnan",4
"KC Sivaramakrishnan,Leo White",4
"ElHassan Wanas,El-Hassan Wanas",4
"KC Sivaramakrishnan,Xavier Leroy",4
"Gabriel Scherer,Jeremie Dimino",4
"Gabriel Scherer,Frédéric Bour",4
"samsa1,Florian Angeletti",3
"Anil Madhavapeddy,Florian Angeletti",3
"Aleksei Nikiforov,Xavier Leroy",3
"Alain Frisch,David Allsopp",3
"yallop,Damien Doligez",3
"octachron,Tom Kelly",3
"octachron,Thomas Refis",3
"octachron,Nicolás Ojeda Bär",3
"Frédéric Bour,KC Sivaramakrishnan",3
"François Pottier,François Pottier",3
"Gabriel Scherer,Basile Clement",3
"Alain Frisch,Jacques-Henri Jourdan",3
"Kate,Carlo Cabrera",3
"KC Sivaramakrishnan,Sadiq Jaffer",3
"Didier Rémy,Damien Doligez",3
"Leo White,Stephen Dolan",3
"Leo White,Jacques Garrigue",3
"Leo White,Alain Frisch",3
"Konstantin Romanov,Stephen Dolan",3
"Enguerrand Decorne,Xavier Leroy",3
"Jeremy Yallop,alainfrisch",3
"Jeremy Yallop,Nicolás Ojeda Bär",3
"Jeremy Yallop,John Whitington",3
"Marcello Seri,Daniel Bünzli",3
"David Allsopp,alainfrisch",3
"David Allsopp,Stephen Dolan",3
"Luc Maranget,Pierre Weis",3
"Luc Maranget,Alain Frisch",3
"Leo White,Xavier Clerc",3
"Leo White,Vincent Laviron",3
"David Allsopp,Romain Beauxis",3
"David Allsopp,Olivier Nicole",3
"Mark Shinwell,Sébastien Hinderer",3
"Mark Shinwell,Florian Angeletti",3
"Mark Shinwell,David Allsopp",3
"Fabrice Le Fessant,octachron",3
"Fabrice Le Fessant,Gabriel Scherer",3
"Fabrice Le Fessant,Alain Frisch",3
"Fabrice Buoro,fabbing",3
"David Allsopp,Louis Gesbert",3
"David Allsopp,Jules Aguillon",3
"Miod Vallat,Antonin Décimo",3
"Mekhrubon Turaev,Antal Spector-Zabusky",3
"Max Mouratov,Sébastien Hinderer",3
"Mark Shinwell,octachron",3
"David Allsopp,Enguerrand Decorne",3
"David Allsopp,Daniel Bünzli",3
"Nicolas Ojeda Bar,Nicolás Ojeda Bär",3
"Nicolas Ojeda Bar,Leo White",3
"Nathan Rebours,David Allsopp",3
"Florian Angeletti,Daniel Bünzli",3
"Jacques-Henri Jourdan,JPR",3
"Jacques-Henri Jourdan,David Allsopp",3
"Jacques-Henri Jourdan,Damien Doligez",3
"Jacques Garrigue,Sébastien Hinderer",3
"Olivier Nicole,Fabrice Buoro",3
"Nicolás Ojeda Bär,Thomas Refis",3
"Nicolás Ojeda Bär,Greta Yorsh",3
"Romain Beauxis,Gabriel Scherer",3
"Pieter Goetschalckx,Gabriel Scherer",3
"Perry E. Metzger,Dwight Guth",3
"Damien Doligez,Pierre Chambart",3
"Sadiq Jaffer,Enguerrand Decorne",3
"Runhang Li,Thomas Refis",3
"Daniel Bünzli,Jean-Christophe Filliatre",3
"Jacques Garrigue,Maxence Guesdon",3
"Florian Angeletti,Jeremy Yallop",3
"Jacques Garrigue,Jeremie Dimino",3
"Jacques Garrigue,Daniel de Rauglaudre",3
"Damien Doligez,Nicolas Pouillard",3
"Damien Doligez,Luc Maranget",3
"Stefan Muenzel,Gabriel Scherer",3
"Seb Hinderer,Antonin Décimo",3
"Damien Doligez,Florian Angeletti",3
"Stephen Dolan,Nicolás Ojeda Bär",3
"Stephen Dolan,Leo White",3
"Christophe Raffalli,Gabriel Scherer",3
"Sébastien Hinderer,Jules Aguillon",3
"Sébastien Hinderer,Jacques Garrigue",3
"Sébastien Hinderer,Hugo Heuzard",3
"Sébastien Hinderer,Greg V",3
"Sébastien Briais,alainfrisch",3
"Stephen Dolan,octachron",3
"Hugo Heuzard,Damien Doligez",3
"Guillaume Munch-Maccagnoni,Sébastien Hinderer",3
"Guillaume Munch-Maccagnoni,David Allsopp",3
"Guillaume Munch-Maccagnoni,Antonin Décimo",3
"Thomas Refis,Sébastien Hinderer",3
"Thomas Refis,Jérémie Dimino",3
"Thomas Refis,David Allsopp",3
"Tim McGilchrist,Romain Beauxis",3
"Thomas Refis,octachron",3
"Thomas Refis,Xavier Leroy",3
"Greta Yorsh,Stephen Dolan",3
"Fourchaux,Florian Angeletti",3
"Gabriel Scherer,ygrek",3
"Gabriel Scherer,Xavier Clerc",3
"Gabriel Scherer,Wojciech Meyer",3
"Gabriel Scherer,Vincent Laviron",3
"François Pottier,François Pottier",3
"Xavier Clerc,Jacques Garrigue",3
"Wojciech Meyer,Gabriel Scherer",3
"Basile Clement,Gabriel Scherer",3
"Wiktor Kuchta,Xavier Leroy",3
"Vladimir Keleshev,Daniel Bünzli",3
"Vincent Laviron,Xavier Leroy",3
"Vincent Laviron,Gabriel Scherer",3
"Xavier Leroy,Jules Aguillon",3
"Xavier Clerc,Stefan Muenzel",3
"alainfrisch,François Bobot",3
"alainfrisch,Demetri Obenour",3
"Antonin Décimo,Nicolás Ojeda Bär",3
"Xavier Leroy,Stephen Dolan",3
"Xavier Leroy,Olivier Nicole",3
"octachron,Antal Spector-Zabusky",3
"objmagic,octachron",3
"alainfrisch,Thomas Refis",3
"alainfrisch,Nicolas Ojeda Bar",3
"Gabriel Scherer,Seb Hinderer",3
"Gabriel Scherer,Pierre Chambart",3
"whitequark,Gabriel Scherer",3
"yallop,François Bobot",3
"zapashcanon,EruEri",2
"yallop,Mark Shinwell",2
"Andrey Bergman,Damien Doligez",2
"Anil Madhavapeddy,Gabriel Scherer",2
"octachron,Jim",2
"octachron,John Whitington",2
"octachron,Stephen Dolan",2
"octachron,Valentin Gatien-Baron",2
"octachron,Vincent Laviron",2
"Alain Frisch,Florian Angeletti",2
"Alain Frisch,Luc Maranget",2
"Alain Frisch,Mark Shinwell",2
"Alain Frisch,Nicolás Ojeda Bär",2
"Alain Frisch,Stephen Dolan",2
